event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
LSQ12gdj,56273.10,17.27,0.01,F,I,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56273.10,16.63,0.01,F,R,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56273.10,17.17,0.01,F,Z,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56274.10,17.03,0.01,F,G,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56274.10,17.19,0.01,F,I,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56274.10,16.65,0.01,F,R,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56274.10,17.20,0.02,F,Z,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56275.06979,17.566,0.013,F,B,QUEST,ESO Schmidt,2015ApJS..219...13W
LSQ12gdj,56275.07359,16.849,0.012,F,V,QUEST,ESO Schmidt,2015ApJS..219...13W
LSQ12gdj,56275.07741,16.671,0.011,F,r,QUEST,ESO Schmidt,2015ApJS..219...13W
LSQ12gdj,56275.08108,17.226,0.015,F,i,QUEST,ESO Schmidt,2015ApJS..219...13W
LSQ12gdj,56275.10,17.60,0.01,F,B,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56275.10,17.17,0.01,F,G,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56275.10,17.20,0.01,F,I,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56275.10,17.23,0.01,F,I,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56275.10,16.65,0.02,F,R,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56275.10,16.69,0.01,F,R,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56275.10,16.85,0.01,F,V,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56275.10,17.12,0.01,F,Z,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56276.10,17.34,0.01,F,G,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56276.10,17.22,0.01,F,I,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56276.10,16.69,0.01,F,R,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56276.10,17.17,0.01,F,Z,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56277.10,17.40,0.01,F,G,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56277.10,17.18,0.01,F,I,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56277.10,16.71,0.03,F,R,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56277.10,17.17,0.02,F,Z,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56278.10,17.50,0.01,F,G,EFOSC,NTT,2015A&A...579A..40S
